[Çar, 3-Şub-2021, 15:19:6] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 2: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:19:13] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 3: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:19:19] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 5: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:19:25] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 6: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:20:21] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 7: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:20:22] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 15:22:22] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 15:26:40] | INFO | Server started. |
[Çar, 3-Şub-2021, 15:27:8] | INFO | Button (before the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:27:9] | INFO | Button (on the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:27:10] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 15:27:12] | INFO | Gözden Geçir düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:27:14] | INFO | Sınava Dön düğmesine basıldı (Gözden Geçir sayfasında). |
[Çar, 3-Şub-2021, 15:28:38] | INFO | Server started. |
[Çar, 3-Şub-2021, 15:28:39] | INFO | Gözden Geçir düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:28:39] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 15:28:39] | INFO | Sınava Dön düğmesine basıldı (Gözden Geçir sayfasında). |
[Çar, 3-Şub-2021, 15:28:49] | INFO | Button (before the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:28:51] | INFO | Button (on the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 15:28:52] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 15:28:59] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 1: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:29:5] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 3: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:29:14] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 4: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:29:18] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 5: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:29:26] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 7: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:30:52] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 8: Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 15:30:52] | INFO | Sınav sayfası görüntülendi. |
